year,party_label,n,share_present
2013,AfD,158,0.6075949367088608
2013,CDU,299,0.49498327759197325
2013,DIE LINKE,298,0.8087248322147651
2013,FDP,298,0.697986577181208
2013,GRÜNE,299,0.8561872909698997
2013,SPD,299,0.8093645484949833
2017,AfD,286,0.44405594405594406
2017,CDU,299,0.2909698996655518
2017,DIE LINKE,298,0.6375838926174496
2017,FDP,299,0.6521739130434783
2017,GRÜNE,298,0.761744966442953
2017,SPD,299,0.5752508361204013
2021,AfD,293,0.36177474402730375
2021,CDU,299,0.29431438127090304
2021,DIE LINKE,296,0.5371621621621622
2021,FDP,299,0.4782608695652174
2021,GRÜNE,299,0.7023411371237458
2021,SPD,299,0.45484949832775917
