name,party,district,list_state,candidate_id,candidate_url,answered,n_answers,district_no
Frank Hansen,AfD,Flensburg – Schleswig,NA,34817,https://www.wen-waehlen.de/btw17/kandidaten/34817-frank-hansen.html,FALSE,0,1
Arne-Olaf Jöhnk,FREIE WÄHLER,Flensburg – Schleswig,NA,35222,https://www.wen-waehlen.de/btw17/kandidaten/35222-arne-olaf-joehnk.html,FALSE,0,1
Uwe Krüger-Winands,Kennwort: Unabhängiger Bürgerkandidat für Gemeinwohl und Volksentscheid,Flensburg – Schleswig,NA,35654,https://www.wen-waehlen.de/btw17/kandidaten/35654-uwe-krueger-winands.html,FALSE,0,1
Christian Rudolf Michael Lucks,FDP,Flensburg – Schleswig,Schleswig-Holstein,35930,https://www.wen-waehlen.de/btw17/kandidaten/35930-christian-rudolf-michael-lucks.html,TRUE,76,1
Petra Nicolaisen,CDU,Flensburg – Schleswig,NA,36367,https://www.wen-waehlen.de/btw17/kandidaten/36367-petra-nicolaisen.html,FALSE,0,1
Hermann Soldan,DIE LINKE,Flensburg – Schleswig,NA,37436,https://www.wen-waehlen.de/btw17/kandidaten/37436-hermann-soldan.html,TRUE,76,1
Clemens Teschendorf,SPD,Flensburg – Schleswig,Schleswig-Holstein,37659,https://www.wen-waehlen.de/btw17/kandidaten/37659-clemens-teschendorf.html,TRUE,76,1
Peter Wittenhorst,GRÜNE,Flensburg – Schleswig,NA,38111,https://www.wen-waehlen.de/btw17/kandidaten/38111-peter-wittenhorst.html,TRUE,76,1
Berthold Brodersen,FDP,Nordfriesland – Dithmarschen Nord,NA,33906,https://www.wen-waehlen.de/btw17/kandidaten/33906-berthold-brodersen.html,TRUE,76,2
Astrid Damerow,CDU,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,34047,https://www.wen-waehlen.de/btw17/kandidaten/34047-astrid-damerow.html,FALSE,0,2
Matthias Ilgen,SPD,Nordfriesland – Dithmarschen Nord,NA,35159,https://www.wen-waehlen.de/btw17/kandidaten/35159-matthias-ilgen.html,FALSE,0,2
Jürgen Izdebski,AfD,Nordfriesland – Dithmarschen Nord,NA,35171,https://www.wen-waehlen.de/btw17/kandidaten/35171-juergen-izdebski.html,FALSE,0,2
Michael Potthast,FREIE WÄHLER,Nordfriesland – Dithmarschen Nord,NA,36609,https://www.wen-waehlen.de/btw17/kandidaten/36609-michael-potthast.html,FALSE,0,2
Michael Schilke,DIE LINKE,Nordfriesland – Dithmarschen Nord,NA,37053,https://www.wen-waehlen.de/btw17/kandidaten/37053-michael-schilke.html,TRUE,76,2
Arfst Wagner,GRÜNE,Nordfriesland – Dithmarschen Nord,NA,37860,https://www.wen-waehlen.de/btw17/kandidaten/37860-arfst-wagner.html,FALSE,0,2
Mark Helfrich,CDU,Steinburg – Dithmarschen Süd,Schleswig-Holstein,34923,https://www.wen-waehlen.de/btw17/kandidaten/34923-mark-helfrich.html,FALSE,0,3
Christian Kölle,MLPD,Steinburg – Dithmarschen Süd,Schleswig-Holstein,35520,https://www.wen-waehlen.de/btw17/kandidaten/35520-christian-koelle.html,FALSE,0,3
Wolfgang Kubicki,FDP,Steinburg – Dithmarschen Süd,Schleswig-Holstein,35672,https://www.wen-waehlen.de/btw17/kandidaten/35672-wolfgang-kubicki.html,FALSE,0,3
Ingrid Nestle,GRÜNE,Steinburg – Dithmarschen Süd,Schleswig-Holstein,36333,https://www.wen-waehlen.de/btw17/kandidaten/36333-ingrid-nestle.html,TRUE,76,3
Rolf Friedrich von Rhein,AfD,Steinburg – Dithmarschen Süd,NA,36765,https://www.wen-waehlen.de/btw17/kandidaten/36765-rolf-friedrich-rhein.html,FALSE,0,3
Dr. Karin Thissen,SPD,Steinburg – Dithmarschen Süd,Schleswig-Holstein,37689,https://www.wen-waehlen.de/btw17/kandidaten/37689-karin-thissen.html,FALSE,0,3
Björn Thoroe,DIE LINKE,Steinburg – Dithmarschen Süd,NA,37695,https://www.wen-waehlen.de/btw17/kandidaten/37695-bjoern-thoroe.html,TRUE,76,3
Helmut Unger,FREIE WÄHLER,Steinburg – Dithmarschen Süd,NA,37780,https://www.wen-waehlen.de/btw17/kandidaten/37780-helmut-unger.html,FALSE,0,3
Christine Aschenberg-Dugnus,FDP,Rendsburg-Eckernförde,Schleswig-Holstein,33518,https://www.wen-waehlen.de/btw17/kandidaten/33518-christine-aschenberg-dugnus.html,FALSE,0,4
Gereon Martin Bollmann,AfD,Rendsburg-Eckernförde,Schleswig-Holstein,33822,https://www.wen-waehlen.de/btw17/kandidaten/33822-gereon-martin-bollmann.html,FALSE,0,4
Stefan Karstens,DIE LINKE,Rendsburg-Eckernförde,NA,35309,https://www.wen-waehlen.de/btw17/kandidaten/35309-stefan-karstens.html,TRUE,76,4
Hans-Werner Last,FREIE WÄHLER,Rendsburg-Eckernförde,NA,35772,https://www.wen-waehlen.de/btw17/kandidaten/35772-hans-werner-last.html,FALSE,0,4
Sönke Rix,SPD,Rendsburg-Eckernförde,Schleswig-Holstein,36813,https://www.wen-waehlen.de/btw17/kandidaten/36813-soenke-rix.html,FALSE,0,4
Claudia Ulrich,GRÜNE,Rendsburg-Eckernförde,NA,37777,https://www.wen-waehlen.de/btw17/kandidaten/37777-claudia-ulrich.html,TRUE,76,4
Dr. Johann David Wadephul,CDU,Rendsburg-Eckernförde,Schleswig-Holstein,37854,https://www.wen-waehlen.de/btw17/kandidaten/37854-johann-david-wadephul.html,FALSE,0,4
Luise Amtsberg,GRÜNE,Kiel,Schleswig-Holstein,33480,https://www.wen-waehlen.de/btw17/kandidaten/33480-luise-amtsberg.html,TRUE,76,5
Sebastian Blumenthal,FDP,Kiel,NA,33793,https://www.wen-waehlen.de/btw17/kandidaten/33793-sebastian-blumenthal.html,TRUE,76,5
