"question","total_abs_coef","n_levels_kept"
"Q56",0.292907725955267,4
"Q31",0.202953235592388,4
"Q43",0.193596198628324,3
"Q5",0.16821749023272,3
"Q1",0.154701514250715,2
"Q7",0.13653415085433,4
"Q57",0.125192309965781,2
"Q45",0.111263722247803,3
"Q36",0.101392063819662,3
"Q54",0.0966038194123212,2
"Q3",0.0962279032450052,2
"Q65",0.0949160181783667,2
"Q21",0.0911027054008716,3
"Q47",0.090175111078292,3
"Q26",0.0856745790319802,2
"Q48",0.0816444470843044,3
"Q46",0.0797970025533078,2
"Q50",0.0790702128486535,2
"Q11",0.0739542785657258,2
"Q59",0.0615872048962003,1
"Q61",0.060526672058549,2
"Q37",0.0600777164439512,2
"Q4",0.0588995419410586,2
"Q15",0.0557212183728285,2
"Q23",0.052506151121806,3
"Q19",0.0513378061482127,3
"Q25",0.0510871588545421,2
"Q39",0.0506986803672189,1
"Q18",0.0504951460160692,2
"Q16",0.0473050622856013,1
"Q64",0.042289738606843,2
"Q44",0.0396588662646348,2
"Q53",0.0361419874406473,1
"Q58",0.0358412240436252,2
"Q27",0.0343149039613248,2
"Q42",0.0294245974266327,1
"Q30",0.0289438238279098,2
"Q10",0.0288811085805125,1
"Q60",0.0280731612152722,1
"Q12",0.0245728998104378,2
"Q2",0.0240982047706055,1
"Q49",0.0237486715738707,1
"Q41",0.0233242413037862,1
"Q29",0.0229840279082594,1
"Q8",0.0226700095322477,3
"Q52",0.0220069697922344,1
"Q40",0.0214193236949813,1
"Q28",0.0208402893008653,2
"Q51",0.0207828576419885,2
"Q17",0.0149725230509509,1
"Q24",0.0127915006047613,1
"Q32",0.0125740269511642,1
"Q20",0.00680644654225241,2
"Q35",0.00389045751070433,1
"Q13",0.00032494908741071,1
"Q14",0,0
"Q22",0,0
"Q33",0,0
"Q34",0,0
"Q38",0,0
"Q55",0,0
"Q6",0,0
"Q62",0,0
"Q63",0,0
"Q9",0,0
