"question","total_abs_coef","n_levels_kept"
"Q6",0.598843656134562,3
"Q50",0.213917974584454,1
"Q41",0.144959449346856,2
"Q5",0.129901209120619,1
"Q61",0.100223802127912,1
"Q30",0.082082299875646,1
"Q45",0.0806883403061694,1
"Q26",0.080087022890234,1
"Q34",0.0542662310627361,1
"Q63",0.0517860594772461,1
"Q59",0.0263818083627489,1
"Q52",0.0196127489527735,1
"Q74",0.0109392790278342,1
"Q11",0.00807277472901466,1
"Q66",0.00762502823147909,1
"Q32",0.00607349790434682,1
"Q46",0.00456257829556635,1
"Q44",0.00335202314350172,1
"Q38",0.000280054060133318,1
"Q1",0,0
"Q10",0,0
"Q12",0,0
"Q13",0,0
"Q14",0,0
"Q15",0,0
"Q16",0,0
"Q17",0,0
"Q18",0,0
"Q19",0,0
"Q2",0,0
"Q20",0,0
"Q21",0,0
"Q22",0,0
"Q23",0,0
"Q24",0,0
"Q25",0,0
"Q27",0,0
"Q28",0,0
"Q29",0,0
"Q3",0,0
"Q31",0,0
"Q33",0,0
"Q35",0,0
"Q36",0,0
"Q37",0,0
"Q39",0,0
"Q4",0,0
"Q40",0,0
"Q42",0,0
"Q43",0,0
"Q47",0,0
"Q48",0,0
"Q49",0,0
"Q51",0,0
"Q53",0,0
"Q54",0,0
"Q55",0,0
"Q56",0,0
"Q57",0,0
"Q58",0,0
"Q60",0,0
"Q62",0,0
"Q64",0,0
"Q65",0,0
"Q67",0,0
"Q68",0,0
"Q69",0,0
"Q7",0,0
"Q70",0,0
"Q71",0,0
"Q72",0,0
"Q73",0,0
"Q75",0,0
"Q76",0,0
"Q8",0,0
"Q9",0,0
