Wahlkreis;Wahlkreis-Bez;Land;Regierungsbezirk;Kreis;Verbandsgemeinde;Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
1;Flensburg – Schleswig;1;0;1;0;0;Schleswig-Holstein;;Flensburg, Stadt;;Flensburg, Stadt;;;;24937;*****
1;Flensburg – Schleswig;1;0;59;5996;1;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Alt Bennebek;;;;24848;
1;Flensburg – Schleswig;1;0;59;5920;2;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kappeln-Land;Arnis, Stadt;;;;24399;
1;Flensburg – Schleswig;1;0;59;5996;5;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Bergenhusen;;;;24861;
1;Flensburg – Schleswig;1;0;59;5974;6;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Böel;;;;24401;*****
1;Flensburg – Schleswig;1;0;59;5987;8;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Böklund;;;;24860;
1;Flensburg – Schleswig;1;0;59;5996;9;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Börm;;;;24863;*****
1;Flensburg – Schleswig;1;0;59;5993;10;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Bollingstedt;;;;24855;
1;Flensburg – Schleswig;1;0;59;5915;12;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Borgwedel;;;;24857;
1;Flensburg – Schleswig;1;0;59;5915;18;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Busdorf;;;;24866;
1;Flensburg – Schleswig;1;0;59;5915;19;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Dannewerk;;;;24867;
1;Flensburg – Schleswig;1;0;59;5996;20;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Dörpstedt;;;;24869;
1;Flensburg – Schleswig;1;0;59;5993;23;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Ellingstedt;;;;24870;
1;Flensburg – Schleswig;1;0;59;5996;24;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Erfde;;;;24803;
1;Flensburg – Schleswig;1;0;59;5915;26;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Fahrdorf;;;;24857;
1;Flensburg – Schleswig;1;0;59;5915;32;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Geltorf;;;;24884;
1;Flensburg – Schleswig;1;0;59;5920;34;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kappeln-Land;Grödersby;;;;24376;*****
1;Flensburg – Schleswig;1;0;59;5996;35;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Groß Rheide;;;;24872;*****
1;Flensburg – Schleswig;1;0;59;5987;37;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Havetoft;;;;24873;
1;Flensburg – Schleswig;1;0;59;5993;39;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Hollingstedt;;;;24876;
1;Flensburg – Schleswig;1;0;59;5993;41;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Hüsby;;;;24850;
1;Flensburg – Schleswig;1;0;59;5987;42;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Idstedt;;;;24879;
1;Flensburg – Schleswig;1;0;59;5915;43;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Jagel;;;;24878;*****
1;Flensburg – Schleswig;1;0;59;5993;44;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Jübek;;;;24855;
1;Flensburg – Schleswig;1;0;59;0;45;Schleswig-Holstein;;Schleswig-Flensburg;;Kappeln, Stadt;;;;24376;*****
1;Flensburg – Schleswig;1;0;59;5987;49;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Klappholz;;;;24860;
1;Flensburg – Schleswig;1;0;59;5996;50;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Klein Bennebek;;;;24848;*****
1;Flensburg – Schleswig;1;0;59;5996;51;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Klein Rheide;;;;24848;
1;Flensburg – Schleswig;1;0;59;5996;53;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Kropp;;;;24848;
1;Flensburg – Schleswig;1;0;59;5974;55;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Loit;;;;24888;*****
1;Flensburg – Schleswig;1;0;59;5915;56;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Lottorf;;;;24878;*****
