"bundesland","second_choice","share_party","N_Land"
1,"CDU",0.45,22
1,"FDP",0.36,22
1,"Left",0.09,22
1,"SPD",0.09,22
2,"CDU",0.27,11
2,"FDP",0.45,11
2,"Green",0.09,11
2,"Left",0.09,11
2,"SPD",0.09,11
3,"CDU",0.41,56
3,"FDP",0.34,56
3,"Green",0.02,56
3,"Left",0.16,56
3,"SPD",0.07,56
4,"FDP",0.8,5
4,"SPD",0.2,5
5,"CDU",0.26,122
5,"FDP",0.45,122
5,"Green",0.03,122
5,"Left",0.13,122
5,"SPD",0.12,122
6,"CDU",0.22,50
6,"FDP",0.56,50
6,"Green",0.04,50
6,"Left",0.16,50
6,"SPD",0.02,50
7,"CDU",0.31,35
7,"FDP",0.46,35
7,"Green",0.03,35
7,"Left",0.14,35
7,"SPD",0.06,35
8,"CDU",0.38,96
8,"FDP",0.4,96
8,"Green",0.02,96
8,"Left",0.18,96
8,"SPD",0.03,96
9,"CDU",0.35,125
9,"FDP",0.46,125
9,"Green",0.02,125
9,"Left",0.06,125
9,"SPD",0.1,125
10,"CDU",0.25,8
10,"FDP",0.5,8
10,"Left",0.25,8
11,"CDU",0.39,36
11,"FDP",0.28,36
11,"Green",0.03,36
11,"Left",0.14,36
11,"SPD",0.17,36
12,"CDU",0.3,101
12,"FDP",0.47,101
12,"Green",0.01,101
12,"Left",0.16,101
12,"SPD",0.07,101
13,"CDU",0.29,55
13,"FDP",0.44,55
13,"Green",0.02,55
13,"Left",0.15,55
13,"SPD",0.11,55
14,"CDU",0.28,239
14,"FDP",0.45,239
14,"Green",0.02,239
14,"Left",0.13,239
14,"SPD",0.12,239
15,"CDU",0.34,77
15,"FDP",0.39,77
15,"Left",0.13,77
15,"SPD",0.14,77
16,"CDU",0.34,101
16,"FDP",0.39,101
16,"Green",0.03,101
16,"Left",0.13,101
16,"SPD",0.12,101
