"bundesland","rural","second_choice","share_party","N"
1,0,"CDU",0.44,18
1,0,"FDP",0.22,18
1,0,"Green",0.17,18
1,0,"Left",0.06,18
1,0,"SPD",0.11,18
1,1,"CDU",0.29,7
1,1,"FDP",0.29,7
1,1,"Green",0.29,7
1,1,"SPD",0.14,7
2,0,"CDU",0.5,12
2,0,"FDP",0.17,12
2,0,"Left",0.17,12
2,0,"SPD",0.17,12
2,1,"FDP",0.5,2
2,1,"Green",0.5,2
3,0,"CDU",0.47,32
3,0,"FDP",0.22,32
3,0,"Left",0.22,32
3,0,"SPD",0.09,32
3,1,"CDU",0.42,19
3,1,"FDP",0.26,19
3,1,"Green",0.05,19
3,1,"Left",0.21,19
3,1,"SPD",0.05,19
4,0,"CDU",0.6,5
4,0,"Left",0.2,5
4,0,"SPD",0.2,5
5,0,"CDU",0.4,99
5,0,"FDP",0.25,99
5,0,"Green",0.03,99
5,0,"Left",0.15,99
5,0,"SPD",0.16,99
5,1,"CDU",0.38,16
5,1,"FDP",0.06,16
5,1,"Green",0.06,16
5,1,"Left",0.25,16
5,1,"SPD",0.25,16
6,0,"CDU",0.5,24
6,0,"FDP",0.21,24
6,0,"Green",0.08,24
6,0,"Left",0.17,24
6,0,"SPD",0.04,24
6,1,"CDU",0.47,19
6,1,"FDP",0.26,19
6,1,"Left",0.05,19
6,1,"SPD",0.21,19
7,0,"CDU",0.31,13
7,0,"FDP",0.23,13
7,0,"Green",0.08,13
7,0,"Left",0.15,13
7,0,"SPD",0.23,13
7,1,"CDU",0.44,18
7,1,"FDP",0.17,18
7,1,"Left",0.22,18
7,1,"SPD",0.17,18
8,0,"CDU",0.55,47
8,0,"FDP",0.17,47
8,0,"Green",0.09,47
8,0,"Left",0.11,47
8,0,"SPD",0.09,47
8,1,"CDU",0.41,56
8,1,"FDP",0.27,56
8,1,"Green",0.04,56
8,1,"Left",0.23,56
8,1,"SPD",0.05,56
9,0,"CDU",0.48,63
9,0,"FDP",0.22,63
9,0,"Green",0.08,63
9,0,"Left",0.14,63
9,0,"SPD",0.08,63
9,1,"CDU",0.56,66
9,1,"FDP",0.2,66
9,1,"Green",0.02,66
9,1,"Left",0.14,66
9,1,"SPD",0.09,66
10,0,"CDU",0.57,7
10,0,"Left",0.43,7
10,1,"CDU",0.5,2
10,1,"SPD",0.5,2
11,0,"CDU",0.37,63
11,0,"FDP",0.21,63
11,0,"Green",0.06,63
11,0,"Left",0.29,63
11,0,"SPD",0.08,63
13,0,"CDU",0.48,62
13,0,"FDP",0.18,62
13,0,"Green",0.03,62
13,0,"Left",0.24,62
13,0,"SPD",0.06,62
13,1,"CDU",0.41,54
13,1,"FDP",0.19,54
13,1,"Green",0.06,54
13,1,"Left",0.26,54
13,1,"SPD",0.09,54
14,0,"CDU",0.62,34
14,0,"FDP",0.15,34
14,0,"Left",0.24,34
14,1,"CDU",0.42,26
14,1,"FDP",0.08,26
14,1,"Green",0.04,26
14,1,"Left",0.27,26
14,1,"SPD",0.19,26
15,0,"CDU",0.44,172
15,0,"FDP",0.22,172
15,0,"Green",0.01,172
15,0,"Left",0.2,172
15,0,"SPD",0.14,172
15,1,"CDU",0.48,124
15,1,"FDP",0.19,124
15,1,"Green",0.02,124
15,1,"Left",0.23,124
15,1,"SPD",0.09,124
16,0,"CDU",0.38,45
16,0,"FDP",0.13,45
16,0,"Green",0.09,45
16,0,"Left",0.2,45
16,0,"SPD",0.2,45
16,1,"CDU",0.5,46
16,1,"FDP",0.15,46
16,1,"Green",0.02,46
16,1,"Left",0.22,46
16,1,"SPD",0.11,46
17,0,"CDU",0.35,68
17,0,"FDP",0.24,68
17,0,"Green",0.06,68
17,0,"Left",0.19,68
17,0,"SPD",0.16,68
17,1,"CDU",0.49,63
17,1,"FDP",0.16,63
17,1,"Green",0.02,63
17,1,"Left",0.29,63
17,1,"SPD",0.05,63
