"state_id","state_name","year","east_west","group_key","group_pretty","region","party","abs_lower","abs_upper","baseline_mae","afd_group_tol","sc_tol"
12,"Brandenburg",2017,"east","all","All groups (combined)","Right",6,0.12962646484375,0.15234375,0.0286066401732258,0.3,0.3
12,"Brandenburg",2017,"east","all","All groups (combined)","AntiEst",6,0.0896484375,0.109375,0.0286066401732258,0.3,0.3
13,"Mecklenburg-Vorpommern",2017,"east","all","All groups (combined)","Right",6,0,0.03515625,0.0329339027797257,0.3,0.3
13,"Mecklenburg-Vorpommern",2017,"east","all","All groups (combined)","AntiEst",6,0.1635498046875,0.19921875,0.0329339027797257,0.3,0.3
14,"Sachsen",2017,"east","all","All groups (combined)","Right",6,0.1630859375,0.2109375,0.0265332514570477,0.3,0.3
14,"Sachsen",2017,"east","all","All groups (combined)","AntiEst",6,0.113720703125,0.1640625,0.0265332514570477,0.3,0.3
15,"Sachsen-Anhalt",2017,"east","all","All groups (combined)","Right",6,0.0428466796875,0.1328125,0.0193514152468812,0.3,0.3
15,"Sachsen-Anhalt",2017,"east","all","All groups (combined)","AntiEst",6,0.08114013671875,0.17578125,0.0193514152468812,0.3,0.3
16,"Thüringen",2017,"east","all","All groups (combined)","Right",6,0.1201416015625,0.15234375,0.0342920139172593,0.3,0.3
16,"Thüringen",2017,"east","all","All groups (combined)","AntiEst",6,0.105029296875,0.13671875,0.0342920139172593,0.3,0.3
1,"Schleswig-Holstein",2017,"west","all","All groups (combined)","Right",6,0.0392578125,0.0546875,0.017388862776118,0.3,0.3
1,"Schleswig-Holstein",2017,"west","all","All groups (combined)","AntiEst",6,0.022265625,0.0390625,0.017388862776118,0.3,0.3
3,"Niedersachsen",2017,"west","all","All groups (combined)","Right",6,0.050927734375,0.06640625,0.0154464157987142,0.3,0.3
3,"Niedersachsen",2017,"west","all","All groups (combined)","AntiEst",6,0.022265625,0.0390625,0.0154464157987142,0.3,0.3
5,"Nordrhein-Westfalen",2017,"west","all","All groups (combined)","Right",6,0.0435791015625,0.04296875,0.00514065587388068,0.3,0.3
5,"Nordrhein-Westfalen",2017,"west","all","All groups (combined)","AntiEst",6,0.0319580078125,0.04296875,0.00514065587388068,0.3,0.3
6,"Hessen",2017,"west","all","All groups (combined)","Right",6,0.1203125,0.125,0.0158700942363597,0.3,0.3
6,"Hessen",2017,"west","all","All groups (combined)","AntiEst",6,0.011181640625,0.12890625,0.0158700942363597,0.3,0.3
7,"Rheinland-Pfalz",2017,"west","all","All groups (combined)","Right",6,0.04658203125,0.07421875,0.020958240081361,0.3,0.3
7,"Rheinland-Pfalz",2017,"west","all","All groups (combined)","AntiEst",6,0.038818359375,0.07421875,0.020958240081361,0.3,0.3
8,"Baden-Württemberg",2017,"west","all","All groups (combined)","Right",6,0.069921875,0.08984375,0.0184323635467182,0.3,0.3
8,"Baden-Württemberg",2017,"west","all","All groups (combined)","AntiEst",6,0.041357421875,0.0703125,0.0184323635467182,0.3,0.3
9,"Bayern",2017,"west","all","All groups (combined)","Right",6,0.061181640625,0.08984375,0.0240602413671999,0.3,0.3
9,"Bayern",2017,"west","all","All groups (combined)","AntiEst",6,0.0536376953125,0.08203125,0.0240602413671999,0.3,0.3
10,"Saarland",2017,"west","all","All groups (combined)","Right",6,0.055615234375,0.0546875,0.00550970763639977,0.3,0.3
10,"Saarland",2017,"west","all","All groups (combined)","AntiEst",6,0.044921875,0.09375,0.00550970763639977,0.3,0.3
