"state_id","state_name","year","east_west","group_key","group_pretty","region","party","abs_lower","abs_upper","baseline_mae","afd_group_tol","sc_tol"
12,"Brandenburg",2017,"east","all","All groups (combined)","Right",6,0.13956298828125,0.19140625,0.0262608497456544,0.005,0.05
12,"Brandenburg",2017,"east","all","All groups (combined)","AntiEst",6,0.027685546875,0.09765625,0.0262608497456544,0.005,0.05
13,"Mecklenburg-Vorpommern",2017,"east","all","All groups (combined)","Right",6,0,0.0546875,0.0340890570462304,0.005,0.05
13,"Mecklenburg-Vorpommern",2017,"east","all","All groups (combined)","AntiEst",6,0.15029296875,0.203125,0.0340890570462304,0.005,0.05
14,"Sachsen",2017,"east","all","All groups (combined)","Right",6,0.15169677734375,0.17578125,0.0212284034416845,0.005,0.05
14,"Sachsen",2017,"east","all","All groups (combined)","AntiEst",6,0.1209228515625,0.1484375,0.0212284034416845,0.005,0.05
15,"Sachsen-Anhalt",2017,"east","all","All groups (combined)","Right",6,0.1590087890625,0.2109375,0.0215941997507311,0.005,0.05
15,"Sachsen-Anhalt",2017,"east","all","All groups (combined)","AntiEst",6,0,0.10546875,0.0215941997507311,0.005,0.05
16,"Thüringen",2017,"east","all","All groups (combined)","Right",6,0.11162109375,0.1484375,0.0374866219062872,0.005,0.05
16,"Thüringen",2017,"east","all","All groups (combined)","AntiEst",6,0.113818359375,0.15234375,0.0374866219062872,0.005,0.05
1,"Schleswig-Holstein",2017,"west","all","All groups (combined)","Right",6,0.0319580078125,0.04296875,0.0174003783876801,0.005,0.05
1,"Schleswig-Holstein",2017,"west","all","All groups (combined)","AntiEst",6,0.035986328125,0.0546875,0.0174003783876801,0.005,0.05
3,"Niedersachsen",2017,"west","all","All groups (combined)","Right",6,0.06005859375,0.078125,0.0165617901918567,0.005,0.05
3,"Niedersachsen",2017,"west","all","All groups (combined)","AntiEst",6,0.0133056640625,0.03515625,0.0165617901918567,0.005,0.05
5,"Nordrhein-Westfalen",2017,"west","all","All groups (combined)","Right",6,0.0472412109375,0.05078125,0.0172985964537731,0.005,0.05
5,"Nordrhein-Westfalen",2017,"west","all","All groups (combined)","AntiEst",6,0.045703125,0.0625,0.0172985964537731,0.005,0.05
6,"Hessen",2017,"west","all","All groups (combined)","Right",6,0.01044921875,0.1171875,0.0175797705381811,0.005,0.05
6,"Hessen",2017,"west","all","All groups (combined)","AntiEst",6,0.01336669921875,0.12109375,0.0175797705381811,0.005,0.05
7,"Rheinland-Pfalz",2017,"west","all","All groups (combined)","Right",6,0.04404296875,0.078125,0.0216685817209541,0.005,0.05
7,"Rheinland-Pfalz",2017,"west","all","All groups (combined)","AntiEst",6,0.038818359375,0.07421875,0.0216685817209541,0.005,0.05
8,"Baden-Württemberg",2017,"west","all","All groups (combined)","Right",6,0.099609375,0.109375,0.0186484786244406,0.005,0.05
8,"Baden-Württemberg",2017,"west","all","All groups (combined)","AntiEst",6,0.0228515625,0.03125,0.0186484786244406,0.005,0.05
9,"Bayern",2017,"west","all","All groups (combined)","Right",6,0.06005859375,0.078125,0.0251538062531804,0.005,0.05
9,"Bayern",2017,"west","all","All groups (combined)","AntiEst",6,0.0618896484375,0.08203125,0.0251538062531804,0.005,0.05
10,"Saarland",2017,"west","all","All groups (combined)","Right",6,0.05625,0.0625,0.00855516826592525,0.005,0.05
10,"Saarland",2017,"west","all","All groups (combined)","AntiEst",6,0.037890625,0.1015625,0.00855516826592525,0.005,0.05
