name,party,district,list_state,candidate_id,candidate_url,answered,n_answers,district_no
Christoph Georgios Anastasiadis,FDP,Flensburg – Schleswig,Schleswig-Holstein FDP,41426,https://www.wen-waehlen.de/btw21/kandidaten/41426-christoph-georgios-anastasiadis.html,FALSE,0,1
Franziska Maria Brzezicha,SPD,Flensburg – Schleswig,Schleswig-Holstein SPD,41425,https://www.wen-waehlen.de/btw21/kandidaten/41425-franziska-maria-brzezicha.html,FALSE,0,1
Uwe Hermann Christiansen,LKR,Flensburg – Schleswig,Schleswig-Holstein LKR,41433,https://www.wen-waehlen.de/btw21/kandidaten/41433-uwe-hermann-christiansen.html,TRUE,69,1
Robert Habeck,GRÜNE,Flensburg – Schleswig,Schleswig-Holstein GRÜNE,41427,https://www.wen-waehlen.de/btw21/kandidaten/41427-robert-habeck.html,FALSE,0,1
Katrine Hoop,DIE LINKE,Flensburg – Schleswig,Schleswig-Holstein DIE LINKE,41429,https://www.wen-waehlen.de/btw21/kandidaten/41429-katrine-hoop.html,TRUE,69,1
Arne Olaf Jöhnk,FREIE WÄHLER,Flensburg – Schleswig,NA,41430,https://www.wen-waehlen.de/btw21/kandidaten/41430-arne-olaf-joehnk.html,FALSE,0,1
Dariush Keshavarz Khorasgani,du.,Flensburg – Schleswig,Schleswig-Holstein du.,41432,https://www.wen-waehlen.de/btw21/kandidaten/41432-dariush-keshavarz-khorasgani.html,FALSE,0,1
Petra Nicolaisen,CDU,Flensburg – Schleswig,Schleswig-Holstein CDU,41424,https://www.wen-waehlen.de/btw21/kandidaten/41424-petra-nicolaisen.html,FALSE,0,1
Jan Petersen-Brendel,AfD,Flensburg – Schleswig,NA,41428,https://www.wen-waehlen.de/btw21/kandidaten/41428-jan-petersen-brendel.html,FALSE,0,1
Stefan Seidler,SSW,Flensburg – Schleswig,Schleswig-Holstein SSW,41434,https://www.wen-waehlen.de/btw21/kandidaten/41434-stefan-seidler.html,FALSE,0,1
Marko Wölbing,dieBasis,Flensburg – Schleswig,NA,41431,https://www.wen-waehlen.de/btw21/kandidaten/41431-marko-woelbing.html,FALSE,0,1
Andrej Clasen,AfD,Nordfriesland – Dithmarschen Nord,NA,41439,https://www.wen-waehlen.de/btw21/kandidaten/41439-andrej-clasen.html,FALSE,0,2
Astrid Damerow,CDU,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein CDU,41435,https://www.wen-waehlen.de/btw21/kandidaten/41435-astrid-damerow.html,FALSE,0,2
Axel Frey,LKR,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein LKR,41443,https://www.wen-waehlen.de/btw21/kandidaten/41443-axel-frey.html,TRUE,69,2
Hartmut Otto Jensen,DIE LINKE,Nordfriesland – Dithmarschen Nord,NA,41440,https://www.wen-waehlen.de/btw21/kandidaten/41440-hartmut-otto-jensen.html,FALSE,0,2
Jens Peter Jensen,SPD,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein SPD,41436,https://www.wen-waehlen.de/btw21/kandidaten/41436-jens-peter-jensen.html,FALSE,0,2
Gyde Jensen-Bornhöft,FDP,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein FDP,41437,https://www.wen-waehlen.de/btw21/kandidaten/41437-gyde-jensen-bornhoeft.html,FALSE,0,2
