Satzart;Wahlkreis;Land;Regierungsbezirk;Kreis;Verbandsgemeinde;Gemeinde;Kennziffer Briefwahlzugehörigkeit;Name;Textkennzeichen
10;0;1;0;0;0;0;0;Schleswig-Holstein;11
10;0;2;0;0;0;0;0;Hamburg;11
10;0;3;0;0;0;0;0;Niedersachsen;11
10;0;4;0;0;0;0;0;Bremen;11
10;0;5;0;0;0;0;0;Nordrhein-Westfalen;11
10;0;6;0;0;0;0;0;Hessen;11
10;0;7;0;0;0;0;0;Rheinland-Pfalz;11
10;0;8;0;0;0;0;0;Baden-Württemberg;11
10;0;9;0;0;0;0;0;Bayern;11
10;0;10;0;0;0;0;0;Saarland;11
10;0;11;0;0;0;0;0;Berlin;11
10;0;12;0;0;0;0;0;Brandenburg;11
10;0;13;0;0;0;0;0;Mecklenburg-Vorpommern;11
10;0;14;0;0;0;0;0;Sachsen;11
10;0;15;0;0;0;0;0;Sachsen-Anhalt;11
10;0;16;0;0;0;0;0;Thüringen;11
20;0;3;1;0;0;0;0;Statistische Region Braunschweig;21
20;0;5;1;0;0;0;0;Reg.-Bez. Düsseldorf;21
20;0;7;1;0;0;0;0;früher: Reg.-Bez. Koblenz;21
20;0;8;1;0;0;0;0;Reg.-Bez. Stuttgart;21
20;0;9;1;0;0;0;0;Oberbayern;21
20;0;11;1;0;0;0;0;Früher: Berlin-Ost, Stadt;95
20;0;3;2;0;0;0;0;Statistische Region Hannover;21
20;0;7;2;0;0;0;0;früher: Reg.-Bez. Trier;21
20;0;8;2;0;0;0;0;Reg.-Bez. Karlsruhe;21
20;0;9;2;0;0;0;0;Niederbayern;21
20;0;11;2;0;0;0;0;Früher: Berlin-West, Stadt;94
20;0;3;3;0;0;0;0;Statistische Region Lüneburg;21
20;0;5;3;0;0;0;0;Reg.-Bez. Köln;21
20;0;7;3;0;0;0;0;früher: Reg.-Bez. Rheinhessen-Pfalz;21
20;0;8;3;0;0;0;0;Reg.-Bez. Freiburg;21
20;0;9;3;0;0;0;0;Oberpfalz;21
20;0;3;4;0;0;0;0;Statistische Region Weser-Ems;21
20;0;6;4;0;0;0;0;Reg.-Bez. Darmstadt;21
20;0;8;4;0;0;0;0;Reg.-Bez. Tübingen;21
20;0;9;4;0;0;0;0;Oberfranken;21
20;0;5;5;0;0;0;0;Reg.-Bez. Münster;21
20;0;6;5;0;0;0;0;Reg.-Bez. Gießen;21
20;0;9;5;0;0;0;0;Mittelfranken;21
20;0;14;5;0;0;0;0;früher: Direktionsbezirk Chemnitz;21
20;0;6;6;0;0;0;0;Reg.-Bez. Kassel;21
20;0;9;6;0;0;0;0;Unterfranken;21
20;0;14;6;0;0;0;0;früher: Direktionsbezirk Dresden;21
20;0;5;7;0;0;0;0;Reg.-Bez. Detmold;21
20;0;9;7;0;0;0;0;Schwaben;21
20;0;14;7;0;0;0;0;früher: Direktionsbezirk Leipzig;21
20;0;5;9;0;0;0;0;Reg.-Bez. Arnsberg;21
30;1;1;0;0;0;0;0;Flensburg – Schleswig;31
30;2;1;0;0;0;0;0;Nordfriesland – Dithmarschen Nord;31
30;3;1;0;0;0;0;0;Steinburg – Dithmarschen Süd;31
30;4;1;0;0;0;0;0;Rendsburg-Eckernförde;31
30;5;1;0;0;0;0;0;Kiel;31
30;6;1;0;0;0;0;0;Plön – Neumünster;31
30;7;1;0;0;0;0;0;Pinneberg;31
30;8;1;0;0;0;0;0;Segeberg – Stormarn-Mitte;31
30;9;1;0;0;0;0;0;Ostholstein – Stormarn-Nord;31
30;10;1;0;0;0;0;0;Herzogtum Lauenburg – Stormarn-Süd;31
30;11;1;0;0;0;0;0;Lübeck;31
30;12;13;0;0;0;0;0;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;31
30;13;13;0;0;0;0;0;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;31
30;14;13;0;0;0;0;0;Rostock – Landkreis Rostock II;31
30;15;13;0;0;0;0;0;Vorpommern-Rügen – Vorpommern-Greifswald I;31
30;16;13;0;0;0;0;0;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;31
30;17;13;0;0;0;0;0;Mecklenburgische Seenplatte II – Landkreis Rostock III;31
30;18;2;0;0;0;0;0;Hamburg-Mitte;31
30;19;2;0;0;0;0;0;Hamburg-Altona;31
30;20;2;0;0;0;0;0;Hamburg-Eimsbüttel;31
30;21;2;0;0;0;0;0;Hamburg-Nord;31
30;22;2;0;0;0;0;0;Hamburg-Wandsbek;31
30;23;2;0;0;0;0;0;Hamburg-Bergedorf – Harburg;31
30;24;3;0;0;0;0;0;Aurich – Emden;31
30;25;3;0;0;0;0;0;Unterems;31
