"bundesland","second_choice","share_party","N_Land"
1,"CDU",0.5,16
1,"FDP",0.06,16
1,"Green",0.12,16
1,"Left",0.12,16
1,"SPD",0.19,16
2,"CDU",0.43,14
2,"FDP",0.07,14
2,"Green",0.07,14
2,"Left",0.14,14
2,"SPD",0.29,14
3,"CDU",0.39,33
3,"FDP",0.06,33
3,"Green",0.18,33
3,"Left",0.06,33
3,"SPD",0.3,33
4,"Green",1,1
5,"CDU",0.43,79
5,"FDP",0.09,79
5,"Green",0.04,79
5,"Left",0.19,79
5,"SPD",0.25,79
6,"CDU",0.51,43
6,"FDP",0.12,43
6,"Green",0.14,43
6,"Left",0.09,43
6,"SPD",0.14,43
7,"CDU",0.48,33
7,"FDP",0.12,33
7,"Green",0.12,33
7,"Left",0.15,33
7,"SPD",0.12,33
8,"CDU",0.46,61
8,"FDP",0.05,61
8,"Green",0.21,61
8,"Left",0.1,61
8,"SPD",0.18,61
9,"CDU",0.48,86
9,"FDP",0.1,86
9,"Green",0.15,86
9,"Left",0.08,86
9,"SPD",0.19,86
10,"CDU",0.14,7
10,"FDP",0.14,7
10,"Left",0.43,7
10,"SPD",0.29,7
11,"CDU",0.57,37
11,"FDP",0.05,37
11,"Green",0.05,37
11,"Left",0.22,37
11,"SPD",0.11,37
12,"CDU",0.37,49
12,"FDP",0.04,49
12,"Green",0.08,49
12,"Left",0.27,49
12,"SPD",0.24,49
13,"CDU",0.51,41
13,"FDP",0.1,41
13,"Green",0.07,41
13,"Left",0.22,41
13,"SPD",0.1,41
14,"CDU",0.51,93
14,"FDP",0.01,93
14,"Green",0.1,93
14,"Left",0.2,93
14,"SPD",0.18,93
15,"CDU",0.48,33
15,"FDP",0.03,33
15,"Green",0.06,33
15,"Left",0.3,33
15,"SPD",0.12,33
16,"CDU",0.47,55
16,"FDP",0.05,55
16,"Green",0.05,55
16,"Left",0.25,55
16,"SPD",0.16,55
